popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
579,1Pe3z1UqRzKsQtHsl25dm6,Juno Reactor,Q1410018,99783,212577,Juno Reactor,ok,35599,12,strict,UK001F,London,True,4.999056556967963,4.551437798518334,4.608045526118862,-0.0566077276005279,570.0,614.0
580,1dmEUAQBopYUrsMnQnScWL,Fun Boy Three,Q1473992,123794,210879,Fun Boy Three,ok,86408,12,excluded_no_defensible_fua,,,False,5.092699595976199,4.936553953069349,4.675007876220664,0.2615460768486848,525.0,403.0
581,3RP50pmG8Wz1mhNCidQj68,RITUAL,Q60752425,49910,208784,Ritual (electronic band),ok,3070,12,excluded_no_defensible_fua,,,False,4.698187569866122,3.4871383754771865,4.3928998552557434,-0.9057614797785569,736.0,894.0
582,4hzCcF4Leos2sKnz79nwhz,The Sound,Q732151,119926,207467,The Sound (band),ok,63583,12,strict,UK001F,London,True,5.078913348506884,4.803341015128119,4.665149593753463,0.138191421374656,531.0,472.0
583,497rp5TEzJffeBnUT0BeE1,Mammal Hands,Q18984313,143732,205120,Mammal Hands,ok,16670,12,excluded_no_defensible_fua,,,False,5.157553468734565,4.221935599828005,4.721383642952471,-0.4994480431244659,490.0,751.0
584,6VsiDFMZJlJ053P1uO4A6h,Public Service Broadcasting,Q7257602,191872,204661,Public Service Broadcasting (band),ok,61707,12,strict,UK001F,London,True,5.283011602496148,4.790334432897676,4.811096360149988,-0.020761927252312518,415.0,483.0
585,33W24YuaMUEk85MwRX6cRs,Paper Lace,Q2050633,42819,203759,Paper Lace,ok,53978,12,strict,UK029F,Nottingham,True,4.6316365205120595,4.732216788981981,4.345310469929439,0.38690631905254236,765.0,517.0
586,3Q9P0SbpaP9xsBtLUVK0Be,Planet Perfecto,Q7201145,10221,203707,Planet Perfecto,ok,3865,12,excluded_no_defensible_fua,,,False,4.00949338828754,3.5871494982543437,3.9004277891165477,-0.31327829086220405,897.0,884.0
587,5fwaejlOHVBAw1KhIPPaQe,Venom,Q192861,617815,203523,Venom (band),ok,242584,12,strict,UK013F,Newcastle,True,5.790858448378099,5.384862152916119,5.174247947840904,0.2106142050752151,205.0,179.0
588,5uh8Bhewltd8j0TLZjNImc,Lemon Jelly,Q1444372,188511,203232,Lemon Jelly,ok,36429,12,strict,UK001F,London,True,5.275336697246944,4.5614472497364895,4.80560818187493,-0.24416093213844015,422.0,607.0
