band_a,city_a,band_b,city_b,shared_members,shared_member_count,shared_labels,shared_label_count,connection_count,same_city
Bombay Bicycle Club,London,Busted,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Def Leppard,Sheffield,,0,Island Records,1,1,False
Bombay Bicycle Club,London,Disclosure,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Fairport Convention,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Fightstar,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Florence + The Machine,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Free,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Frou Frou,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Jethro Tull,Luton,,0,Island Records,1,1,False
Bombay Bicycle Club,London,Keane,Hastings,,0,Island Records,1,1,False
Bombay Bicycle Club,London,Killing Joke,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Mumford & Sons,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,New Young Pony Club,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Nine Black Alps,Manchester,,0,Island Records,1,1,False
Bombay Bicycle Club,London,Oh Wonder,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Portishead,Bristol,,0,Island Records,1,1,False
Bombay Bicycle Club,London,Procol Harum,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Pulp,Sheffield,,0,Island Records,1,1,False
Bombay Bicycle Club,London,Puressence,Manchester,,0,Island Records,1,1,False
Bombay Bicycle Club,London,Queen,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,Steel Pulse,Birmingham,,0,Island Records,1,1,False
Bombay Bicycle Club,London,Sugababes,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,The Buggles,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,The Fratellis,Glasgow,,0,Island Records,1,1,False
Bombay Bicycle Club,London,The Incredible String Band,Edinburgh,,0,Island Records,1,1,False
Bombay Bicycle Club,London,The Orb,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
Bombay Bicycle Club,London,The Slits,London,,0,Island Records,1,1,True
Bombay Bicycle Club,London,The Spencer Davis Group,Birmingham,,0,Island Records,1,1,False
Bombay Bicycle Club,London,The Wedding Present,Leeds,,0,Island Records,1,1,False
Bombay Bicycle Club,London,Traffic,Birmingham,,0,Island Records,1,1,False
Bombay Bicycle Club,London,Ultravox,London,,0,Island Records,1,1,True
Bow Wow Wow,London,Deep Purple,London,,0,EMI Records,1,1,True
Bow Wow Wow,London,Gang Of Four,Leeds,,0,EMI Records,1,1,False
Bow Wow Wow,London,Pilot,Edinburgh,,0,EMI Records,1,1,False
Bow Wow Wow,London,Queen,London,,0,EMI Records,1,1,True
Bow Wow Wow,London,Sex Pistols,London,,0,EMI Records,1,1,True
Bow Wow Wow,London,The Kooks,Brighton and Hove,,0,EMI Records,1,1,False
Bring Me The Horizon,Sheffield,Carcass,Liverpool,,0,Earache Records,1,1,False
Bring Me The Horizon,Sheffield,Catherine Wheel,Great Yarmouth,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Deacon Blue,Glasgow,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Deep Purple,London,,0,BMG Rights Management,1,1,False
Bring Me The Horizon,Sheffield,Depeche Mode,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Evile,Leeds,,0,Earache Records,1,1,False
Bring Me The Horizon,Sheffield,Faithless,London,,0,Sony Music,1,1,False
Bring Me The Horizon,Sheffield,Fleetwood Mac,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Gentle Giant,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Godflesh,Birmingham,,0,Earache Records,1,1,False
Bring Me The Horizon,Sheffield,Groove Armada,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Herman's Hermits,Manchester,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Hurts,Manchester,,0,RCA Records,1,1,False
Bring Me The Horizon,Sheffield,Jamiroquai,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Judas Priest,Birmingham,,0,Sony Music,1,1,False
Bring Me The Horizon,Sheffield,Kasabian,Leicester,,0,RCA Records,1,1,False
Bring Me The Horizon,Sheffield,Kula Shaker,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Little Mix,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,London Grammar,Nottingham,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Magnetic Man,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Manic Street Preachers,Cardiff,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Mumm-ra,Hastings,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Napalm Death,Birmingham,,0,Earache Records,1,1,False
Bring Me The Horizon,Sheffield,Nothing But Thieves,London,,0,RCA Records,1,1,False
Bring Me The Horizon,Sheffield,Oasis,Manchester,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Olive,London,,0,RCA Records,1,1,False
Bring Me The Horizon,Sheffield,Pitchshifter,Nottingham,,0,Earache Records,1,1,False
Bring Me The Horizon,Sheffield,Pop Will Eat Itself,Birmingham,,0,RCA Records,1,1,False
Bring Me The Horizon,Sheffield,Seafret,Hull,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Suede,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Sugababes,London,,0,RCA Records,1,1,False
Bring Me The Horizon,Sheffield,Sundara Karma,Reading,,0,RCA Records,1,1,False
Bring Me The Horizon,Sheffield,Take That,Manchester,,0,BMG Rights Management,1,1,False
Bring Me The Horizon,Sheffield,Ten Years After,Nottingham,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Texas,Glasgow,,0,BMG Rights Management,1,1,False
Bring Me The Horizon,Sheffield,The Animals,Newcastle,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,The Clash,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,The Dave Clark Five,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,The Heavy,Bath and North East Somerset,,0,BMG Rights Management,1,1,False
Bring Me The Horizon,Sheffield,The Hoosiers,Bracknell Forest,,0,RCA Records,1,1,False
Bring Me The Horizon,Sheffield,The Kinks,London,,0,RCA Records,1,1,False
Bring Me The Horizon,Sheffield,The Orb,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,The Outfield,Manchester,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,The Psychedelic Furs,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,The Rolling Stones,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,The Sweet,London,,0,RCA Records,1,1,False
Bring Me The Horizon,Sheffield,The Ting Tings,Manchester,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,The Vaccines,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,The Yardbirds,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,The Zombies,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,Wham!,London,,0,Columbia Records,1,1,False
Bring Me The Horizon,Sheffield,You Me At Six,London,,0,Epitaph Records,1,1,False
Bronski Beat,London,East 17,London,,0,London Records,1,1,True
Bronski Beat,London,Fine Young Cannibals,Birmingham,,0,London Records,1,1,False
Bronski Beat,London,New Order,Manchester,,0,London Records,1,1,False
Bronski Beat,London,Onslaught,Bristol,,0,London Records,1,1,False
Bronski Beat,London,Shakespears Sister,London,,0,London Records,1,1,True
Bronski Beat,London,Sugababes,London,,0,London Records,1,1,True
Bronski Beat,London,The Kinks,London,,0,London Records,1,1,True
Bronski Beat,London,The Moody Blues,Birmingham,,0,London Records,1,1,False
Bronski Beat,London,The Rolling Stones,London,,0,London Records,1,1,True
Bury Tomorrow,Southampton,Carcass,Liverpool,,0,Nuclear Blast,1,1,False
Bury Tomorrow,Southampton,Cathedral,Coventry,,0,Nuclear Blast,1,1,False
Bury Tomorrow,Southampton,Sylosis,Reading,,0,Nuclear Blast,1,1,False
Bury Tomorrow,Southampton,The Exploited,Edinburgh,,0,Nuclear Blast,1,1,False
Bush,London,Chumbawamba,Burnley,,0,MNRK Music Group,1,1,False
Bush,London,Clean Bandit,Cambridge,,0,Atlantic Records,1,1,False
Bush,London,Coldplay,London,,0,Atlantic Records,1,1,True
Bush,London,Crystal Fighters,London,,0,Atlantic Records,1,1,True
Bush,London,Everything But The Girl,Hull,,0,Atlantic Records,1,1,False
Bush,London,Fanfarlo,London,,0,Atlantic Records,1,1,True
Bush,London,Genesis,Guildford,,0,Atlantic Records,1,1,False
Bush,London,Goldie Lookin Chain,Newport,,0,Atlantic Records,1,1,False
Bush,London,Hard-Fi,London,,0,Atlantic Records,1,1,True
Bush,London,Led Zeppelin,London,,0,Atlantic Records,1,1,True
Bush,London,Porcupine Tree,Dacorum,,0,Atlantic Records,1,1,False
Bush,London,Rudimental,London,,0,Atlantic Records,1,1,True
Bush,London,Small Faces,London,,0,Atlantic Records,1,1,True
Bush,London,The Animals,Newcastle,,0,Atlantic Records,1,1,False
Bush,London,The Crazy World Of Arthur Brown,London,,0,Atlantic Records,1,1,True
Bush,London,The Darkness,Ipswich,,0,Atlantic Records,1,1,False
Bush,London,The Joy Formidable,Cheshire West and Chester,,0,Atlantic Records,1,1,False
Bush,London,The Rolling Stones,London,,0,Atlantic Records,1,1,True
Bush,London,The Staves,London,,0,Atlantic Records,1,1,True
Bush,London,The Streets,Birmingham,,0,Atlantic Records,1,1,False
Bush,London,Yes,London,,0,Atlantic Records,1,1,True
Bush,London,Zero 7,London,,0,Atlantic Records,1,1,True
Bush,London,alt-J,Leeds,,0,Atlantic Records,1,1,False
Busted,London,Def Leppard,Sheffield,,0,Island Records,1,1,False
Busted,London,Disclosure,London,,0,Island Records,1,1,True
Busted,London,Fairport Convention,London,,0,Island Records,1,1,True
Busted,London,Florence + The Machine,London,,0,Island Records,1,1,True
Busted,London,Free,London,,0,Island Records,1,1,True
Busted,London,Frou Frou,London,,0,Island Records,1,1,True
Busted,London,Jethro Tull,Luton,,0,Island Records,1,1,False
Busted,London,Keane,Hastings,,0,Island Records,1,1,False
Busted,London,Killing Joke,London,,0,Island Records,1,1,True
Busted,London,Mumford & Sons,London,,0,Island Records,1,1,True
Busted,London,New Young Pony Club,London,,0,Island Records,1,1,True
Busted,London,Nine Black Alps,Manchester,,0,Island Records,1,1,False
Busted,London,Oh Wonder,London,,0,Island Records,1,1,True
Busted,London,Oxide & Neutrino,London,,0,East West Records,1,1,True
Busted,London,Portishead,Bristol,,0,Island Records,1,1,False
Busted,London,Procol Harum,London,,0,Island Records,1,1,True
Busted,London,Pulp,Sheffield,,0,Island Records,1,1,False
Busted,London,Puressence,Manchester,,0,Island Records,1,1,False
Busted,London,Queen,London,,0,Island Records,1,1,True
Busted,London,Rialto,London,,0,East West Records,1,1,True
Busted,London,Simply Red,Manchester,,0,East West Records,1,1,False
Busted,London,Steel Pulse,Birmingham,,0,Island Records,1,1,False
Busted,London,Sugababes,London,,0,Island Records,1,1,True
Busted,London,The Buggles,London,,0,Island Records,1,1,True
Busted,London,The Fratellis,Glasgow,,0,Island Records,1,1,False
Busted,London,The Human League,Sheffield,,0,East West Records,1,1,False
Busted,London,The Incredible String Band,Edinburgh,,0,Island Records,1,1,False
Busted,London,The Orb,London,,0,Island Records,1,1,True
Busted,London,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
Busted,London,The Slits,London,,0,Island Records,1,1,True
Busted,London,The Spencer Davis Group,Birmingham,,0,Island Records,1,1,False
Busted,London,The Wedding Present,Leeds,,0,Island Records,1,1,False
Busted,London,Traffic,Birmingham,,0,Island Records,1,1,False
Busted,London,Ultravox,London,,0,Island Records,1,1,True
Buzzcocks,Manchester,Fine Young Cannibals,Birmingham,,0,I.R.S. Records,1,1,False
Buzzcocks,Manchester,Public Image Ltd.,London,Mike Joyce,1,,0,1,False
Buzzcocks,Manchester,Squeeze,London,,0,I.R.S. Records,1,1,False
Buzzcocks,Manchester,The Animals,Newcastle,,0,I.R.S. Records,1,1,False
Buzzcocks,Manchester,The Damned,London,,0,I.R.S. Records,1,1,False
Buzzcocks,Manchester,The Fall,Manchester,,0,I.R.S. Records,1,1,True
Buzzcocks,Manchester,The Smiths,Manchester,Mike Joyce,1,,0,1,True
Buzzcocks,Manchester,Wishbone Ash,Torbay,,0,I.R.S. Records,1,1,False
CHVRCHES,Glasgow,Cook da Books,Liverpool,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Culture Club,London,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Cutting Crew,London,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Daughter,London,,0,Glassnote Records,1,1,False
CHVRCHES,Glasgow,Depeche Mode,London,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Gorillaz,London,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Madness,London,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Mattafix,London,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Mumford & Sons,London,,0,Glassnote Records,1,1,False
CHVRCHES,Glasgow,Orchestral Manoeuvres In The Dark,Liverpool,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Placebo,London,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Public Image Ltd.,London,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Sex Pistols,London,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Simple Minds,Glasgow,,0,Virgin Records,1,1,True
CHVRCHES,Glasgow,Spice Girls,London,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,Starsailor,Manchester,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,The Human League,Sheffield,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,The Kooks,Brighton and Hove,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,The Lightning Seeds,Liverpool,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,The Rolling Stones,London,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,The Specials,Coventry,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,XTC,Swindon,,0,Virgin Records,1,1,False
CHVRCHES,Glasgow,You Me At Six,London,,0,Virgin Records,1,1,False
Camel,Guildford,Cock Sparrer,London,,0,Decca,1,1,False
Camel,Guildford,Diamond Head,Birmingham,,0,MCA Records,1,1,False
Camel,Guildford,Hawkwind,London,,0,Charisma,1,1,False
Camel,Guildford,Jethro Tull,Luton,Paul Burgess,1,,0,1,False
Camel,Guildford,Led Zeppelin,London,,0,Decca,1,1,False
Camel,Guildford,Procol Harum,London,,0,Deram,1,1,False
Camel,Guildford,Small Faces,London,,0,Decca,1,1,False
Camel,Guildford,The Animals,Newcastle,,0,Decca,1,1,False
Camel,Guildford,The Damned,London,,0,MCA Records,1,1,False
Camel,Guildford,The Fixx,London,,0,MCA Records,1,1,False
Camel,Guildford,The Icicle Works,Liverpool,Paul Burgess,1,,0,1,False
Camel,Guildford,The Kinks,London,,0,MCA Records,1,1,False
Camel,Guildford,The Move,Birmingham,,0,Deram,1,1,False
Camel,Guildford,The Rolling Stones,London,,0,Decca,1,1,False
Camel,Guildford,The Who,London,,0,Decca,1,1,False
Camel,Guildford,The Zombies,London,,0,Decca,1,1,False
Camel,Guildford,Van Der Graaf Generator,Manchester,,0,Charisma,1,1,False
CamelPhat,Liverpool,Sigma,Leeds,,0,Xploded Music,1,1,False
Camera Obscura,Glasgow,Cocteau Twins,Falkirk,,0,4AD,1,1,False
Camera Obscura,Glasgow,Daughter,London,,0,4AD,1,1,False
Camera Obscura,Glasgow,Dry Cleaning,London,,0,4AD,1,1,False
Camera Obscura,Glasgow,Lush,London,,0,4AD,1,1,False
Camera Obscura,Glasgow,Modern English,Colchester,,0,4AD,1,1,False
Camera Obscura,Glasgow,Piano Magic,London,,0,4AD,1,1,False
Camera Obscura,Glasgow,Stereolab,London,,0,4AD,1,1,False
Camera Obscura,Glasgow,Stornoway,Oxford,,0,4AD,1,1,False
Camera Obscura,Glasgow,The Big Pink,London,,0,4AD,1,1,False
Camera Obscura,Glasgow,Tones On Tail,Northampton,,0,4AD,1,1,False
Carcass,Liverpool,Evile,Leeds,,0,Earache Records,1,1,False
Carcass,Liverpool,Godflesh,Birmingham,,0,Earache Records,1,1,False
Carcass,Liverpool,Pitchshifter,Nottingham,,0,Earache Records,1,1,False
Carcass,Liverpool,Sylosis,Reading,,0,Nuclear Blast,1,1,False
Carcass,Liverpool,The Exploited,Edinburgh,,0,Nuclear Blast,1,1,False
Carter The Unstoppable Sex Machine,London,Delta 5,Leeds,,0,Rough Trade,1,1,False
Carter The Unstoppable Sex Machine,London,Goat Girl,London,,0,Rough Trade,1,1,True
Carter The Unstoppable Sex Machine,London,Levitation,London,,0,Rough Trade,1,1,True
Carter The Unstoppable Sex Machine,London,The Libertines,London,,0,Rough Trade,1,1,True
Carter The Unstoppable Sex Machine,London,The Smiths,Manchester,,0,Rough Trade,1,1,False
Carter The Unstoppable Sex Machine,London,The Sundays,London,,0,Rough Trade,1,1,True
Carter The Unstoppable Sex Machine,London,Young Marble Giants,Cardiff,,0,Rough Trade,1,1,False
Cast,Liverpool,Courteeners,Manchester,,0,Polydor Records,1,1,False
Cast,Liverpool,Cream,London,,0,Polydor Records,1,1,False
Cast,Liverpool,Deep Purple,London,,0,Polydor Records,1,1,False
Cast,Liverpool,Echo & the Bunnymen,Liverpool,Peter Wilkinson,1,,0,1,True
Cast,Liverpool,Fairport Convention,London,,0,Polydor Records,1,1,False
Cast,Liverpool,Fickle Friends,Brighton and Hove,,0,Polydor Records,1,1,False
Cast,Liverpool,Flesh For Lulu,London,,0,Polydor Records,1,1,False
Cast,Liverpool,Floetry,Liverpool,,0,Polydor Records,1,1,True
Cast,Liverpool,Gene,London,,0,Polydor Records,1,1,False
Cast,Liverpool,Girls Aloud,London,,0,Polydor Records,1,1,False
Cast,Liverpool,Kaiser Chiefs,Leeds,,0,Polydor Records,1,1,False
Cast,Liverpool,Klaxons,London,,0,Polydor Records,1,1,False
Cast,Liverpool,La Roux,London,,0,Polydor Records,1,1,False
Cast,Liverpool,Monaco,Manchester,,0,Polydor Records,1,1,False
Cast,Liverpool,N-Dubz,London,,0,Polydor Records,1,1,False
Cast,Liverpool,Paper Lace,Nottingham,,0,Polydor Records,1,1,False
Cast,Liverpool,Rainbow,London,,0,Polydor Records,1,1,False
Cast,Liverpool,Shed Seven,York,,0,Polydor Records,1,1,False
Cast,Liverpool,Siouxsie and the Banshees,London,,0,Polydor Records,1,1,False
Cast,Liverpool,Slade,Birmingham,,0,Polydor Records,1,1,False
Cast,Liverpool,Talk Talk,London,,0,Polydor Records,1,1,False
Cast,Liverpool,The 1975,Manchester,,0,Polydor Records,1,1,False
Cast,Liverpool,The Beatles,Liverpool,,0,Polydor Records,1,1,True
Cast,Liverpool,The Cure,Crawley,,0,Polydor Records,1,1,False
Cast,Liverpool,The Jam,London,,0,Polydor Records,1,1,False
Cast,Liverpool,The La's,Liverpool,John Power,1,,0,1,True
Cast,Liverpool,The Moody Blues,Birmingham,,0,Polydor Records,1,1,False
Cast,Liverpool,The Rolling Stones,London,,0,Polydor Records,1,1,False
Cast,Liverpool,The Saturdays,London,,0,Polydor Records,1,1,False
Cast,Liverpool,The Style Council,London,,0,Polydor Records,1,1,False
Cast,Liverpool,The Sweet,London,,0,Polydor Records,1,1,False
Cast,Liverpool,The Who,London,,0,Polydor Records,1,1,False
Cast,Liverpool,The Wonder Stuff,Birmingham,,0,Polydor Records,1,1,False
Cathedral,Coventry,Catherine Wheel,Great Yarmouth,,0,Columbia Records,1,1,False
Cathedral,Coventry,Deacon Blue,Glasgow,,0,Columbia Records,1,1,False
Cathedral,Coventry,Depeche Mode,London,,0,Columbia Records,1,1,False
Cathedral,Coventry,Evile,Leeds,,0,Earache Records,1,1,False
Cathedral,Coventry,Fleetwood Mac,London,,0,Columbia Records,1,1,False
Cathedral,Coventry,Gentle Giant,London,,0,Columbia Records,1,1,False
Cathedral,Coventry,Glasvegas,Glasgow,,0,Columbia Records,1,1,False
Cathedral,Coventry,Godflesh,Birmingham,,0,Earache Records,1,1,False
Cathedral,Coventry,Groove Armada,London,,0,Columbia Records,1,1,False
Cathedral,Coventry,Herman's Hermits,Manchester,,0,Columbia Records,1,1,False
Cathedral,Coventry,Jamiroquai,London,,0,Columbia Records,1,1,False
Cathedral,Coventry,Kula Shaker,London,,0,Columbia Records,1,1,False
Cathedral,Coventry,Little Mix,London,,0,Columbia Records,1,1,False
Cathedral,Coventry,London Grammar,Nottingham,,0,Columbia Records,1,1,False
Cathedral,Coventry,Magnetic Man,London,,0,Columbia Records,1,1,False
Cathedral,Coventry,Manic Street Preachers,Cardiff,,0,Columbia Records,1,1,False
Cathedral,Coventry,Mumm-ra,Hastings,,0,Columbia Records,1,1,False
Cathedral,Coventry,Oasis,Manchester,,0,Columbia Records,1,1,False
Cathedral,Coventry,One Direction,London,,0,Columbia Records,1,1,False
